# 由 tools/corpus/glossary_es.py 生成（Azure Translator F0）。词	[词性. ]译词	[词性. ]译词
㕮	v. masticar
空空	adj. vacío
空空道人	n. Kongkong taoísta
空竹	n. diabolos
空管	n. tubo de aire
空类	n. categoría vacía
空缺	n. vacante
空置	v. vacante
空翻	n. flip
空耗	v. desperdiciar
空肠	n. intestinos vacíos
空肠弯曲菌	n. Campylobacter jejuni
空腔	n. cavidad
空腹	adj. hambriento
空舱费	n. tasa por espacio vacío
空荡	adj. vacío
空荡荡	adj. vacío
空落落	adj. vacío
空虚	adj. vacío
空袭	n. bombardeos aéreos
空言	n. palabras vacías
空论	n. palabras vacías
空话	n. palabras vacías
空调	n. aire acondicionado
空调吹	phr. aire acondicionado soplando
空调器厂	n. fábrica de aire acondicionado
空调房	n. habitaciones con aire acondicionado
空调泵	n. bomba de aire acondicionado
空调滤网	n. filtro de aire acondicionado
空调滤芯	n. filtro de aire acondicionado
空调病	n. mareo por aire acondicionado
空调管路	n. tuberías de aire acondicionado
空调车	n. vehículo con aire acondicionado
空谈	n. palabras vacías
空身	n. con las manos vacías
空转	v. ocioso
空载	v. no-load
空运	v. transportar por aire
空门	n. El monasterio budista
空闲	adj. ocio
空闲时间	n. tiempo libre
空闲物理内存	n. memoria física inactiva
空间	n. espacio
空间分割	n. segmentación espacial
空间分析	n. análisis espacial
空间复杂度	n. complejidad espacial
空间复杂性	n. complejidad espacial
空间定位	n. posicionamiento espacial
空间容积	n. volumen espacial
空间局部性	n. localidad espacial
空间布局	n. distribución espacial
空间技术	n. tecnología espacial
空间拓扑关系	n. relaciones topológicas espaciales
空间控制	n. control de espacio
空间效力	n. efectividad espacial
空间效力范围	n. rango de efectividad espacial
空间数据	n. datos espaciales
空间数据库	n. base de datos espacial
空间权	n. derechos espaciales
空间查询	n. consulta de espacio
空间检索	n. recuperación espacial
空间知觉	n. percepción espacial
空间站	n. estación espacial
空间索引	n. índice espacial
空间统计	n. estadísticas espaciales
空间自相关	n. autocorrelación espacial
空间配置器	n. configurador de espacio
空间需要	n. se requiere espacio
空阔	adj. vasta
空际	n. al borde del cielo
空降	v. soltar por aire
空降兵	n. tropas aerotransportadas
空隙	n. gap
空难	n. accidente aéreo
空额	n. cuota vacía
空驶	v. deadhead
空齿鹿亚科	n. Subfamilia Cercophainae
穿	v. llevar
穿一件	phr. ponte uno
穿上	v. poner
穿上了	phr. póntelo
穿不下	v. no puede encajar en
穿不了	v. no puede llevar
穿个	phr. ponte uno
穿了	v. wore
穿什么	phr. qué ponerse
穿内衣	phr. lleva ropa interior
穿出	v. desgastar
穿出去	v. desgastar
穿出来	v. desgastar
穿凿	v. aforrar
穿到	v. llevar a
穿制服	phr. llevar uniforme
穿刺	n. pinchazo
穿刺针	n. aguja punzante
穿厚	v. llevar grueso
穿吧	phr. adelante, póntelo
穿啊	phr. póntelo
穿啥	v. llevar qué
穿外套	v. ponerse un abrigo
穿多	v. llevar más
穿多了	phr. demasiado desgastado
穿好	v. poner
穿孔	v. perforar
穿孝	v. llevar el duelo
穿少了	phr. llevar muy poco
穿山河	n. Atravesando montañas y ríos
穿山甲	n. pangolín
穿山街道	n. Subdistrito de Chuanshan
穿山路	n. sendero de montaña
穿帮	v. error
穿得	v. llevar
穿心莲	n. Andrographis panicula
穿心莲内酯	n. andrographolida
穿心莲注射液	n. inyección de Andrographis paniculata
穿心莲片	n. cortes de Andrographis
穿心莲胶囊	n. cápsulas Andrographis
穿成	v. vestirse como
穿戴	v. llevar
穿拖鞋	phr. llevar zapatillas
穿插	v. intercalar
穿搭	n. vestimenta
穿校服	v. llevar uniforme
穿梭	v. lanzadero
穿棉	v. llevar algodón
穿比基尼	v. llevar bikini
穿毛衣	v. llevar un jersey
穿点	v. llevar algo
穿牛仔裤	phr. lleva vaqueros
穿琥宁注射液	n. Inyección de Transano Huning
穿甲弹	n. proyectiles perforantes
穿白色	v. vestir de blanco
穿的	v. llevar
穿的是	phr. llevándolo puesto
穿的衣服	n. ropa que se lleva
穿着	v. llevar
穿着短袖	phr. llevar manga corta
穿短袖	v. llevar manga corta
穿短裙	v. llevar falda
穿短裤	v. llevar pantalones cortos
穿石乡	n. Aldea de Chuanshi
穿秋裤	phr. llevar pantalones térmicos
穿穿	v. llevar
穿红	v. llevar rojo
穿著	v. llevar
穿行	v. pasar por
穿衣	v. vestirse
穿衣服	v. vestirse
穿衣镜	n. espejo de vestidor
穿袄	v. llevar chaqueta acolchada
穿袜子	phr. lleva calcetines
穿裙子	v. llevar falda
穿西装	phr. llevar traje
穿起	v. poner
穿起来	v. poner
穿越	v. cruzar
穿过	v. cruzar
穿这么	phr. vestido así
穿这么少	phr. llevas tan poco
穿连裆裤	phr. llevar pantalones sin entrepierna
穿透	v. penetrar
穿透力	n. poder de penetración
穿透性	n. penetración
穿长袖	v. llevar mangas largas
穿长裤	phr. lleva pantalones largos
穿鞋	v. llevar zapatos
穿高跟鞋	phr. lleva tacones altos
穿黑	v. vestir de negro
窀	n. entierro
突	v. empujar
突兀	adj. abrupto
突入	v. romper en
突出	adj. prominencia
突出的	adj. prominente
突出贡献	phr. contribuciones destacadas
突击	v. agredir
突击手	n. oficial de asalto
突击步枪	n. fusil de asalto
突击队	n. equipo de asalto
突厥	n. Turcos
突厥人	n. Pueblo túrquico
突厥语	n. Lengua túrquica
突发	adj. repentino
突发事件	n. emergencias
突发传输	n. transmisión repentina
突发公共卫生事件	n. emergencias de salud pública
突发噪声	n. ruido repentino
突发性耳聋	n. sordera repentina
突变	v. mutar
突变体	n. mutantes
突变基因	n. genes mutados
突变率	n. tasa de mutación
突围	v. romper
突如其来	phr. de repente
突审	v. interrogar de repente
突尼	n. Tuni
突尼斯	n. Túnez
突尼西亚	n. Túnez
突显	v. resaltar
突然	adv. de repente
突然出现	v. aparecer de repente
突然想起	phr. de repente recordado
突然感觉	phr. de repente, lo sentí
突然的	adj. repentino
突然觉得	phr. de repente, lo sentí
突然间	adv. de repente
突现	v. emerger
突眼性甲状腺肿	n. bocio ocular
突破	v. la ruptura
突破了	v. romper
突破口	n. avance
突突	v. palpitar
突缘叶蝉	n. Saltahojas con borde saliente
突袭	v. saquear
突触	n. sinapis
突触前抑制	n. inhibición presináptica
突触前膜	n. membrana presináptica
突触可塑性	n. plasticidad sináptica
突触后膜	n. membrana postsináptica
突起	n. protrusión
突进	v. cargar
突遇	v. encontrarse de repente
窃	v. robar
窃取	v. robar
窃听	v. escuchar
窃听器	n. un dispositivo de escucha
窃国	v. usurpar el poder estatal
窃密	v. robar secretos
窃据	v. usurpar
窃电	v. robar electricidad
窃盗赃	n. bienes robados
窃窃	adv. susurro
窃窃私语	phr. susurrando entre ellos
窃笑	v. reírse
窃贼	n. ladrón
窄	adj. estrecha
窄切叶蜂	n. asegadores de corte estrecho
窄吻腔吻鱈	n. boca estrecha y bacalao
窄吻角鲨	n. tiburón de hocico estrecho
窄唇纲	n. Clase de labio estrecho
窄嘴雀	n. gorrión pico estrecho
窄嘴鴷雀	n. gorrión pico estrecho
窄壳纲	n. clase de casco estrecho
窄小	adj. estrecha
窄小刀螳螂	n. mantis cuchillo estrecha
窄巷子	n. un callejón estrecho
窄带小鳀	n. anchoa de bandas estrechas
窄幅	n. anchura estrecha
窄招潮蟹	n. cangrejo violinista estrecho
窄狭	adj. estrecha
窄琵琶蟹	n. cangrejo pipa estrecho
窄眼繸鲬	n. qiao de ojos cerrados
窄纹獴	n. mangosta de rayas estrechas
窄谱	adj. espectro estrecho
窄身鮠	n. carpa de cuerpo estrecho
窄轨	n. vía estrecha
窅	adj. profundo
窈	adj. yao
窈窕	adj. elegante
窊	n. hollow
窍	n. orificio
窍角沱	n. qiaojiao Tuo
窍门	n. truco
窑	n. horno
窑上	n. En el horno
窑前	n. delante del horno
窑前村	n. aldea Yaoqian
窑厂	n. fábrica de hornos
窑场村	n. Aldea Yaochang
窑址	n. sitio del horno
窑坑	n. pozo de horno
窑坡	n. yaopo
窑坡山	n. Montaña Yaopo
窑坪乡	n. Municipio de Yaoping
窑头乡	n. Municipio de Yaotou
窑头村	n. Pueblo Yaotou
窑姐儿	n. chica del horno
窑子头乡	n. municipio de Yaozitou
窑山花园	n. Jardín Yaoshan
窑岭	n. Yaoling
窑洞	n. yaodong
窑洼湖桥	n. Puente del lago Yaowa
窑湾街道	n. Subdistrito de Yaowan
窑灰	n. ceniza de horno
窑里	n. Dentro del horno
窑里村	n. Aldea Yaoli
窑院村	n. Aldea Yaoyuan
窑顶	n. tejado de horno
窒	v. asfixiar
窒息	v. asfixiar
窒闷	adj. asfixiante
窕	adj. tiao
窖	n. bodega
窖藏	v. la bodega
窗	n. ventana
窗位	n. posición de la ventana
窗体区域	n. zona de la ventana
窗体开发	n. desarrollo de la forma
窗体设计器	n. diseñador de ventanas
窗口	n. ventana
窗口函数	n. función ventana
窗口句柄	n. manilla de ventana
窗口大小	n. tamaño de la ventana
窗口期	n. periodo ventana
窗口构件	n. componentes de ventana
窗口标题	n. título de la ventana
窗口程序集	n. montaje de ventanas
窗口管理器	n. gestor de Ventanas
窗口组件	n. componentes de ventana
窗口行业	n. industria de ventanas
窗台	n. alféizar
窗外	n. fuera de la ventana
窗子	n. ventana
窗宽	n. ancho de ventana
窗帘	n. cortinas
窗帷	n. cortinas de ventana
窗幔	n. cortinas
窗户	n. ventana
窗扇	n. marco de ventana
窗扉	n. ventana
窗机	n. proyección de ventanas
窗格子	n. estructura de ventanas
窗框	n. marcos de ventanas
窗棂	n. estructura de ventanas
窗沿	n. alféizar de la ventana
窗洞	n. apertura de la ventana
窗纱	n. malla de ventana
窗边	n. junto a la ventana
窘	adj. avergonzado
窘促	adj. incómodo
窘困	adj. angustia
窘境	n. situación
窘态	n. estado incómodo
窘迫	adj. vergüenza
窜	v. huir
窜天	v. disparar hacia arriba
窜改	v. manipular
窜逃	v. huir
窝	n. nest
窝丝糖	n. caramelos Wosi
窝主	n. dueño del nido
窝囊	adj. cobarde
窝囊废	n. inútil y cobarde
窝囊气	n. una actitud cobarde
窝在	v. acurrucarse en
窝在家里	phr. quédate encerrado en casa
窝头	n. pan de maíz
窝子上	n. en el nido
窝子油糕	n. wozi Yougao
窝子里	n. en el nido
窝工	v. ocioso
窝底乡	n. Municipio de Wodi
窝心	adj. acogedor
窝棚	n. una choza
窝气	v. sentirse asfixiado
窝洞	n. cueva
窝火	v. estar enfadado
窝点	n. den
窝着	v. quedarse en casa
窝窝	n. vaya
窝藏	v. albergar
窝赃	v. albergar bienes robados
窝赛乡	n. Municipio de Wosai
窝边草	n. hierba junto al nido
窝里	n. nest
窝里反	phr. el nido se rebeló
窝里斗	v. la lucha interna
窝里横	phr. el nido es arrogante
窝铺	n. wopu
窟	n. cueva
窟窿	n. un agujero
窟窿眼儿	n. agujeros en los ojos
窠	n. nest
窠臼	n. moho
窣	n. susurro
窥	v. peep
窥伺	v. espiar
窥察	v. espiar
窥探	v. peep
窥测	v. espiar
窥看	v. asomarse
窥破	v. detectar
窥见	v. vislumbrar
窥视	v. peep
窦	n. dou
窦光鼐	n. Dou Guangnai
窦唯	n. Dou Wei
窦固	n. Dou Gu
窦店	n. Dou Dian
窦店环岛	n. Rotonda de Doudian
窦店镇政府	n. Gobierno municipal de Doudian
窦建德	n. Dou Jiande
窦性心动过缓	n. bradicardia sinusal
窦性心动过速	n. taquicardia sinusal
窦房传导阻滞	n. bloqueo de conducción sinoauricular
窦文涛	n. Dou Wentao
窦智孔	n. Dou Zhikong
窦村	n. Pueblo Dou
窦武	n. Dou Wu
窦腺	n. glándula sinusal
窦舟蛾	n. dou Zhoumo
窦融	n. Dou Rong
窦道	n. dijo Dou
窦骁	n. Dou Xiao
窨	n. silencio
窬	n. cueva
窭	adj. pobre
窳	adj. yu
窸	n. susurro
窿	n. agujero
立	v. estar de pie
立下	v. establecer
立业	v. establecer una carrera
立业大厦	n. edificio Liyie
立丰船厂	n. Establecimiento del Astillero Feng
立为	v. establecer como
立于	v. estar de pie
立于不败	phr. establécete sin derrotas
立交	n. interacción inmediata
立交桥	n. paso elevado
立交桥位置	n. ubicación del paso elevado
立传	v. escribir una biografía
立体	adj. estereoscópico
立体交叉	n. separación de niveles
立体几何	n. geometría sólida
立体化学	n. estereoquímica
立体匹配	n. emparejamiento tridimensional
立体图	n. diagrama tridimensional
立体声	n. estéreo
立体定向手术	n. cirugía estereotáctica
立体异构	n. estructura tridimensional y heterogénea
立体影像	n. Imagen estereoscópica
立体感	n. tridimensionalidad
立体显微镜	n. estereomicroscopio
立体显示	n. Pantalla estereoscópica
立体电影	n. Película estereoscópica
立体绿化	n. enverdeamiento tridimensional
立体视觉	n. visión estereoscópica
立体镜	n. estereoscopio
立信街	n. calle Lixin
立克次体感染	n. infección por rickettsia
立克次氏体病	n. liketsis estaba enferma
立农	n. Establecer la agricultura
立冬	n. Comienzo del invierno
立刻	adv. inmediatamente
立功	v. al mérito
立即	adv. inmediatamente
立即下载	v. descargar ahora
立即执行函数	n. Ejecuta la función inmediatamente
立即撤销委托	phr. revocar inmediatamente la comisión
立叶	n. se establecieron las hojas
立国	v. fundar una nación
立地成佛	phr. alcanzar instantáneamente la budeidad
立场	n. posición
立坪	n. Labeado
立垡村	n. Aldea Lifa
立夏	n. Comienzo del verano
立委	n. legisladores
立定	v. detener
立宪	v. constitucional
立山	n. Tateyama
立川	n. Lichuan
立式	adj. vertical
立式珩磨机	n. máquina de afilado vertical
立德	v. establecer la virtud
立志	v. resolver
立意	n. intención
立户	v. abrir una cuenta
立教	v. establecer una religión
立新	v. establecer un nuevo
立方	n. cúbico
立方体	n. cubo
立方米	m. metros cúbicos
立时	adv. inmediatamente
立春	n. comienzo de la primavera
立普妥	n. Lipitor
立柜	n. armarios de pie
立柱	n. pilares
立案	v. presentar un caso
立正	v. estar firme
立水桥北站	n. Estación Norte de Lishuiqiao
立水桥南站	n. Estación Sur de Lishuiqiao
立法	v. legislar
立法会	n. Consejo Legislativo
立法委员	n. miembro legislativo
立法宗旨	n. propósito legislativo
立法局	n. Consejo Legislativo
立法机关	n. órgano Legislativo
立法机构	n. órganos legislativos
立法院	n. Yuan Legislativo
立碑	v. erigir un monumento
立秋	n. Comienzo del otoño
立等	v. esperar un momento
立等可取	phr. y puede tomarse inmediatamente
立约	v. hacer un contrato
立脚	v. estar de pie
立脚点	n. punto de vista
立花慎之介	n. Shinnosuke Tachibana
立言	v. escribir
立誓	v. maldecir
立论	v. argumentar
立足	v. estar de pie
立足点	n. apoyo
立陶	n. y se estableció Tao
立陶宛	n. Lituania
立面	n. fachada
立项	v. montar un proyecto
立马	adv. inmediatamente
竖	adj. vertical
竖井	n. eje vertical
竖向	adj. vertical
竖子	n. un simple chico
竖屏	n. pantalla vertical
竖排	n. disposición vertical
竖琴	n. arpa
竖直	adj. vertical
竖着	adv. vertical
竖立	v. erigir
竖线	n. línea vertical
竖起来	v. levantarse
站	n. stand
站上	v. estar de pie
站不起来	v. no poder levantarse
站东路	n. Carretera Zhandong
站了	v. de pie
站位	n. posicionamiento
站住	v. detener
站儿巷镇	n. Pueblo de Zhan'erxiang
站内	n. dentro de la estación
站出来	v. dar un paso adelante
站到	v. estar de pie hasta
站前	n. delante de la estación
站前环岛	n. rotonda de la Estación
站前街	n. Calle Zhanqian
站前路	n. Carretera Zhanqian
站务	n. operaciones de la estación
站北区	n. Distrito de Zhanbei
站北新村	n. Pueblo Nuevo Zhanbei
站南街道	n. Subdistrito de Zhannan
站厅	n. vestíbulo
站厅层	n. nivel de concourse
站台	n. andén
站台票	n. entradas para andén
站名	n. nombre de la estación
站哨	v. hacer guardia
站在	v. estar de pie
站在一起	phr. de pie juntos
站姿	n. postura de pie
站岗	v. hacer guardia
站岗乡	n. Municipio de Zhanggang
站房	n. edificio de la estación
站有	v. estar de pie
站柜台	v. servir en el contador
站点	n. estación
站点名	n. nombre de la estación
站点地图	n. mapa del sitio
站点导航	n. navegación del sitio
站牌	n. parada de autobús
站的	phr. posición
站相	n. postura de pie
站着	v. estar de pie
站票	n. billete permanente
站稳	v. mantenerse firme
站立	v. estar de pie
站管理	n. dirección de la emisora
站至	v. estar de pie hasta
站舍	n. edificio de la estación
站街	v. solicitar
站设	n. configuración de la estación
站起	v. levantarse
站起来	v. levantarse
站长	n. jefe de estación
站长助手	n. asistente del webmaster
站间	n. entre estaciones
站队	v. tomar partido
竞	v. competir
竞业禁止合同	n. acuerdos de no competencia
竞丰村	n. Pueblo Jingfeng
竞买	v. licitar
竞争	v. competir
竞争力	n. competitividad
竞争对手	n. competidores
竞争性	n. competitividad
竞争排除原理	n. principio de exclusión competitiva
竞争机制	n. mecanismos de competición
竞争的	adj. competitivo
竞争网络	n. redes competitivas
竞争者	n. competidores
竞价	v. licitar
竞卖	v. subastar
竞品分析	n. análisis de la competencia
竞技	n. competición
竞技体操	n. gimnasia competitiva
竞技体育	n. deportes competitivos
竞技场	n. arena
竞投	v. licitar
竞拍	v. licitar
竞标	v. licitar
竞渡	v. razar
竞演	v. competir
竞猜	v. adivinar
竞相	adv. competir
竞答	v. responder de forma competitiva
竞翔贺姆鸽	n. palomas Homme de Carrera
竞购	v. pujar por
竞赛	n. competición
竞赛图	n. clasificación de competición
竞赛心理	n. psicología competitiva
竞走	n. competir en carrera
竞选	v. correr para
竞选活动	n. actividades de campaña
竞逐	v. competir
竞速	n. carreras por velocidad
竞销	v. competir en ventas
竞马	n. carreras de caballos
竟	adv. jing
竟成园	n. Acabó formando un jardín
竟敢	adv. retos
竟日	adv. bingri
竟是	adv. en realidad
竟然	adv. en realidad
竟然会	phr. de verdad ocurrió
竟然把	phr. de hecho, lo cogió
竟然有	phr. de hecho, había uno
竟然没有	phr. sorprendentemente, no hubo ninguno
竟自	adv. jingzi
竟至	adv. zhizhi
竟陵街道	n. Subdistrito Jingling
章	n. capítulo
章丘	n. Zhangqiu
章丘县	n. Condado de Zhangqiu
章丘市	n. Ciudad de Zhangqiu
章事	n. memorial a la Secretaría
章亚若	n. Zhang Yaruo
章佳乡	n. Municipio de Zhangjia
章党街道	n. Subdistrito de Zhangdang
章剑锋	n. Zhang Jianfeng
章动	n. el traslado del memorial
章句	n. comentarios y comentarios
章台镇	n. Ciudad de Zhangtai
章回小说	n. novelas de capítulos
章士钊	n. Zhang Shizhao
章多乡	n. Municipio de Zhangduo
章太炎	n. Zhang Taiyan
章子怡	n. Zhang Ziyi
章学诚	n. Zhang Xuecheng
章安	n. Zhang'an
章宗	n. Emperador Zhangzong
章宪	n. Estatutos
章家坝	n. Zhangjiaba
章家埭村	n. Pueblo de Zhangjiadai
章家桥	n. Zhangjiaqiao
章寿麟	n. Zhang Shoulin
章小蕙	n. Zhang Xiaohui
章庄	n. Zhangzhuang
章懋	n. Zhang Mao
章服制度	n. reglamentos para vestimenta ceremonial
章法	n. estructura
章溢	n. Zhang Yi
章灵寺	n. Templo Zhangling
章炳麟	n. Zhang Binglin
章琰	n. Zhang Yan
章甫	n. zhangfu
章程	n. reglamentos
章穆	n. Zhangmu
章纳乡	n. Municipio de Zhangna
章节	n. capítulo
章谷	n. Zhang Gu
章贡	n. Homenaje de tributo
章邯	n. Zhang Han
章都	n. Zhangdu
章都乡	n. Municipio de Zhangdu
章鉴	n. Capítulo Jian
章鋆	n. Zhang Yun
章钰	n. Zhang Yu
章门	n. Zhangmen
章门穴	n. Punto Zhangmen
章韵	n. zhangyun
章鱼	n. pulpo
章鱼保罗二世	n. Pablo II el Pulpo
竣	v. completar
竣工	v. completar
童	n. niño
童书业	n. Industria del libro infantil
童便	n. infantil y sin prisas
童养媳	n. novia infantil
童军	n. scouts
童南	n. Tong Nan
童卫路	n. Carretera Tongwei
童参	n. tong Shen
童叶庚	n. Tong Yegeng
童坦君	n. Tong Tanjun
童坪	n. Tongpping
童堡	n. Tongbao
童声	n. voces infantiles
童大年	n. Tong Danian
童大焕	n. Tong Dahuan
童女	n. virgen
童子	n. chico
童子六七人	phr. seis o siete chicos
童子鸡	n. gallina
童宁	n. Tong Ning
童安格	n. Tong Ange
童家	n. La familia Tong
童家巷	n. Callejón Tongjia
童山	n. tongshan
童工	n. trabajo infantil
童市	n. Mercado infantil
童年	n. infancia
童年时	n. en la infancia
童年时期	n. infancia
童店	n. Tienda infantil
童心	n. inocencia infantil
童星	n. estrella infantil
童木	n. Tongmu
童村	n. Aldea Tong
童炎生	n. Nació Tong Yan
童王	n. rey Niño
童男	n. un niño
童癖	n. pedofilia
童真	n. inocencia
童稚	n. infantil
童第周	n. Tong Dizhou
童自荣	n. Se honra la infancia
童芷苓	n. Tong Zhiling
童蒙	n. ignorancia infantil
童衡	n. Tong Heng
童装	n. ropa infantil
童话	n. cuentos de hadas
童话故事	n. cuentos de hadas
童谣	n. canción infantil
童贞	n. virginidad
童贯	n. Tong Guan
童趣	n. diversión infantil
童车	n. cochecito
童轩	n. Tong Xuan
童钰	n. Tong Yu
童雪鸿	n. Tong Xuehong
童鞋	n. zapatos infantiles
童音	n. voz infantil
竦	v. respetar
竫	n. jing
竭	v. agotar
竭力	v. esforzarse
竭尽	v. agotar
竭尽全力	phr. da todo de ti
竭尽心力	phr. ejerciendo toda la fuerza
竭忠尽智	phr. lealtad y sabiduría agotadoras
竭诚	adv. devoción
端	n. fin
端丽	adj. elegante
端倪	n. pistas
端口	n. puerto
端口冲突	n. conflictos portuarios
端口占用	n. ocupación portuaria
端口号	n. número de puerto
端口扫描	n. escaneo de puertos
端口映射	n. mapeo de puertos
端口转发	n. reenvío de puertos
端坐	v. sentarse erguido
端州	n. Duanzhou
端庄	adj. digno
端接	v. terminar
端接电阻	n. terminación de resistencias
端木	n. Duanmu
端木蕻良	n. Duanmu Hongliang
端架子	v. imponer aires
端正	adj. vertical
端濒	adj. duanbon
端点	n. puntos finales
端着	v. sostener
端砚	n. Duan Inkstone
端粒	n. telómeros
端系统	n. sistema de extremos
端纽虫	n. nivet terminal
端线	n. línea final
端脑	n. telencefal
端芬	n. Duanfen
端茶	v. servir té
端详	v. examinar
端重	adj. vertical
端量	v. medir
竹	n. bambú
竹东	n. Zhudong
竹中半兵卫	n. Hanbei Takenaka
竹中直人	n. Naoto Takenaka
竹亭	n. pabellón de Bambú
竹仔	n. bambú
竹仔坑水库	n. Embalse de Zhuzaikeng
竹仙洞	n. Cueva Inmortal de Bambú
竹内	n. Takeuchi
竹内结子	n. Yuko Takeuchi
竹内顺子	n. Junko Takeuchi
竹凳	n. taburete de bambú
竹制品	n. productos de bambú
竹刻	n. talla de bambú
竹南	n. Zhunan
竹原	n. Takehara
竹口	n. Zhukou
竹口村	n. Aldea de Zhukou
竹叶	n. hojas de bambú
竹叶坪乡	n. Municipio de Zhuyeping
竹器	n. vasijas de bambú
竹园	n. jardín de Bambú
竹园新村	n. Pueblo Nuevo Zhuyuan
竹园村	n. Aldea Zhuyuan
竹园路	n. Carretera Zhuyuan
竹围	n. cerco de bambú
竹坑	n. zhukeng
竹坪村	n. Aldea de Zhuping
竹垟乡	n. Municipio de Zhuyang
竹塘	n. Estanque de Bambú
竹塘路	n. Carretera Zhutang
竹墩村	n. Aldea de Zhudun
竹头背	n. Zhutoubei
竹子	n. bambú
竹子园	n. jardín de Bambú
竹子林	n. bosque de bambú
竹子桥	n. puente Zhuzi
竹寿镇	n. Pueblo de Zhushou
竹山	n. Zhushan
竹山下	n. Bajo Zhushan
竹山园	n. Jardín Zhushan
竹山村	n. Aldea de Zhushan
竹山路	n. Calle Zhushan
竹崎埃利茧蜂	n. eri Takezaki Abeja Capullo
竹工业区	n. Zona Industrial de Bambú
竹巴龙	n. Dragón de Bambú
竹巴龙乡	n. Municipio del Dragón Zhuba
竹布	n. tela de bambú
竹帘	n. cortinas de bambú
竹帘子	n. cortinas de bambú
竹帘镇	n. Ciudad de Zhulian
竹席	n. estera de bambú
竹庆乡	n. Municipio de Zhuqing
竹排	n. balsas de bambú
竹斋	n. bamboo Studio
竹望山	n. Zhu Wangshan
竹杆巷	n. Callejón Zhugan
竹杆社区	n. Comunidad Zhugan
竹杆胡同	n. Zhugan Hutong
竹杠	n. barra de bambú
竹板	n. tablones de bambú
竹林	n. bosque de bambú
竹林寺	n. Templo Zhulin
竹林新村	n. Pueblo Nuevo de Zhulin
竹林村	n. Pueblo de Bamboo Grove
竹树下	n. Bajo los bambú
竹树下社区	n. Comunidad Zhushuxia
竹根村	n. Aldea Zhugen
竹桃霉素	n. bamomicina
竹椅	n. silla de bambú
竹楼	n. torre de Bambú
竹榄	n. Oliva de bambú
竹榻	n. sofá de bambú
竹江	n. Zhujiang
竹江码头	n. Muelle Zhujiang
竹洲	n. zhuzhou
竹湖	n. Zhuhu
竹溪	n. zhuxi
竹溪村	n. Aldea Zhuxi
竹炉	n. estufa de bambú
竹瓦	n. azulejos de bambú
竹瓦根镇	n. Ciudad de Zhuwagen
竹田	n. Takeda
竹竿	n. postes de bambú
竹笋	n. brotes de bambú
竹笠	n. sombrero de bambú
竹笼	n. jaula de bambú
竹筏	n. balsa de bambú
竹筐	n. cesta de bambú
竹筒	n. tubo de bambú
竹筒鸡	n. pollo tubo de bambú
竹筴鱼	n. eslabones de bambú
竹筷	n. palillos de bambú
竹签儿	n. palos de bambú
竹简	n. hojas de bambú
竹管寺镇	n. Ciudad de Zhuguansi
竹箱	n. caja de bambú
竹篮	n. cesta de bambú
竹篱	n. valla de bambú
竹纸	n. papel de bambú
竹编	n. tejido de bambú
竹联	n. Pareado de bambú
竹节	n. juntas de bambú
竹节虾	n. gambas de bambú
竹苑	n. jardín de Bambú
竹苑小区	n. Comunidad Zhuyuan
竹苑路	n. Carretera Zhuyuan
竹茹	n. ruddlings de bambú
竹荪	n. hongo de bambú
竹行	n. tienda de Bambú
竹阳村	n. Aldea Zhuyang
竹阿觉乡	n. Aldea Zhu'a Jue
竹院乡	n. Municipio de Zhuyuan
竹雕	n. talla de bambú
竹马	n. caballos de bambú
竹马塘	n. Estanque Zhuma
竹鸡	n. urogallo de bambú
竺	n. Zhu
竺三	n. Zhu San
竺三藏	n. Zhu Sanzang
竺农范	n. Zhu Nongfan
竺可桢	n. Zhu Kezhen
竿	n. vara
竿子	n. vara
笃	adj. du
笃信	v. creer firmemente
笃厚	adj. earnest
笃姬	n. Du Ji
笃守	v. adherirse a
笃实	adj. firme
笃工街道	n. Subdistrito de Dugong
笃庆堂	n. Duqing Hall
笃深	adj. profundo
笃爱	v. amar profundamente
笃诚	adj. sincero
笄	n. horquilla
笆	n. fensión
笆斗	n. vallas y bolos
笈	n. ji
笊	n. un colador
笊篱	n. colador
笋	n. brotes de bambú
笋岗仓库	n. Almacén Sungang
笋岗路	n. Sungang Road
笋干儿	n. brotes de bambú secos
笋浯社区	n. Comunidad Sunwu
笏	n. tableta
笑	v. reír
笑一个	v. sonreír
笑一笑	v. sonreír
笑不出来	phr. no puedo reír
笑了	v. rió
笑你	v. reírse de ti
笑傲	v. reír con orgullo
笑出	v. reírse
笑出了声	phr. estalló en carcajadas
笑出声	v. reírse a carcajadas
笑出来	v. reírse
笑刑	n. castigo de la risa
笑到	v. reír hasta
笑剧	n. una comedia
笑口常开	phr. siempre sonriendo
笑吟吟	adj. sonriendo
笑吧	v. reír
笑呵呵	adj. risas
笑哈哈	adj. ríe jaja
笑哭	v. reír y llorar
笑啊	v. reír
笑嘻嘻	adj. sonriendo
笑场	v. corpsing
笑声	n. risas
笑容	n. sonríe
笑容可掬	phr. su sonrisa era cálida
笑容满面	phr. sonriendo ampliamente
笑得	v. reír
笑意	n. una sonrisa
笑我	phr. se ríe de mí
笑料	n. bromas
笑星	n. estrella cómica
笑柄	n. el hazmerreír
笑楚	n. Xiao Chu
笑死	v. reír hasta morir
笑死了	phr. esto es divertidísimo
笑点	n. risas
笑点低	adj. punto de risa bajo
