# 由 glimmer-gloss-gen 生成（LLM），音标来自 ipa-dict。词	[词性. ]译词[|音标]	[词性. ]译词[|音标]
㕮	v. chew|tʃuː
领养	v. adopt|əˈdɑːpt
领养母亲	n. adoptive mother|əˈdɑːptɪv ˈmʌðər
领军	v. lead|led
领军者	n. leader|ˈliːdər
领到	v. receive|rəˈsiːv
领办	v. lead and manage|led ænd ˈmænədʒ
领取	v. receive|rəˈsiːv	v. collect|kəˈlekt
领受	v. accept|ækˈsept
领口	n. collar|ˈkɑːlər
领命	v. receive orders|rəˈsiːv ˈɔːrdərz
领唱	n. lead singer|led ˈsɪŋər
领土	n. territory|ˈterɪˌtɔːri
领土上	n. on territory|ɑːn ˈterɪˌtɔːri
领地	n. territory|ˈterɪˌtɔːri
领域	n. field|fiːld	n. domain|doʊˈmeɪn
领域建模	n. domain modeling|doʊˈmeɪn ˈmɑːdəˌlɪŋ
领域性	n. territoriality
领域无关	adj. domain-independent|doʊˈmeɪn ˌɪndɪˈpendənt
领域模型	n. domain model|doʊˈmeɪn ˈmɑːdəl
领域知识	n. domain knowledge|doʊˈmeɪn ˈnɑːlədʒ
领域驱动设计	n. domain-driven design|doʊˈmeɪn ˈdrɪvən dɪˈzaɪn
领头	v. lead|led
领奖	v. receive award|rəˈsiːv əˈwɔːrd
领子	n. collar|ˈkɑːlər
领导	n. leader|ˈliːdər
领导下	n. under leadership|ˈʌndər ˈliːdərˌʃɪp
领导人	n. leader|ˈliːdər
领导小组	n. leading group|ˈliːdɪŋ ɡruːp
领导层	n. leadership|ˈliːdərˌʃɪp
领导带班作业制度	n. leader shift system|ˈliːdər ʃɪft ˈsɪstəm
领导干部	n. leading cadre|ˈliːdɪŋ ˈkædri
领导班子	n. leadership team|ˈliːdərˌʃɪp tiːm
领导者	n. leader|ˈliːdər
领导职位权	n. leadership position power|ˈliːdərˌʃɪp pəˈzɪʃən ˈpaʊər
领工	n. foreman|ˈfɔːrmən
领巾	n. scarf|skɑːrf
领带	n. necktie|ˈnekˌtaɪ
领异标新二月花	phr. innovative|ˈɪnəˌveɪtɪv
领悟	v. comprehend|ˌkɑːmpriːˈhend
领情	v. appreciate|əˈpriːʃiːˌeɪt
领教	v. learn from|lɜːrn frʌm
领有	v. possess|pəˈzes
领水	n. territorial waters|ˌterɪˈtɔːriːəl ˈwɔːtərz
领海	n. territorial waters|ˌterɪˈtɔːriːəl ˈwɔːtərz
领班	n. foreman|ˈfɔːrmən	n. supervisor|ˈsuːpərˌvaɪzər
领略	v. appreciate|əˈpriːʃiːˌeɪt	v. enjoy|ˌenˈdʒɔɪ
领的	adj. led|led
领着	v. lead|led	v. guide|ɡaɪd
领票	v. collect tickets|kəˈlekt ˈtɪkəts
领空	n. airspace|ˈerˌspeɪs
领空带	n. airspace zone|ˈerˌspeɪs zoʊn
领章	n. collar badge|ˈkɑːlər bædʒ
领结	n. bow tie|baʊ taɪ
领罪	v. plead guilty|pliːd ˈɡɪlti
领舞	n. lead dancer|led ˈdænsər
领航	v. navigate|ˈnævəˌɡeɪt
领航员	n. navigator|ˈnævəˌɡeɪtər
领花	n. bow tie|baʊ taɪ
领衔	v. lead|led
领衔主演	phr. star|stɑːr
领袖	n. leader|ˈliːdər
领证	v. get certificate|ɡet sərˈtɪfɪkət
领读	v. lead reading|led ˈredɪŋ
领购簿	n. purchase book|ˈpɜːrtʃəs bʊk
领赏	v. receive a reward|rəˈsiːv eɪ riːˈwɔːrd
领走	v. take away|teɪk əˈweɪ
领跌	v. lead decline|led dɪˈklaɪn
领跑	v. lead|led
领路	v. lead the way|led ðʌ weɪ
领队	n. leader|ˈliːdər
领鸺鹠	n. collared owlet
颇	adv. quite|kwaɪt	adv. rather|ˈræðər
颇为	adv. quite|kwaɪt
颇具	adv. quite|kwaɪt
颇受	adv. quite|kwaɪt
颇多	adj. quite a lot|kwaɪt eɪ lɑːt
颇有	adv. quite|kwaɪt
颇深	adj. quite deep|kwaɪt diːp
颇闻列仙人	phr. have heard of immortals|hæv hɜːrd ʌv ˌɪˈmɔːrtəlz
颈	n. neck|nek
颈内动脉	n. internal carotid artery|ˌɪnˈtɜːrnəl kərˈɑːtɪd ˈɑːrtəri
颈内动脉海绵窦瘘	n. carotid-cavernous fistula
颈内静脉	n. internal jugular vein|ˌɪnˈtɜːrnəl ˈdʒuːɡjələr veɪn
颈动脉	n. carotid artery|kərˈɑːtɪd ˈɑːrtəri
颈动脉体瘤	n. carotid body tumor|kərˈɑːtɪd ˈbɑːdi ˈtuːmər
颈动脉内膜切除术	n. carotid endarterectomy
颈动脉内膜剥脱术	n. carotid endarterectomy
颈动脉狭窄	n. carotid stenosis|kərˈɑːtɪd ˌsteˈnoʊsɪs
颈动脉瘤	n. carotid aneurysm|kərˈɑːtɪd ˈænjʊˌrɪzəm
颈动脉硬化	n. carotid atherosclerosis|kərˈɑːtɪd ˌæθəroʊsklərˈoʊsɪs
颈动脉窦	n. carotid sinus|kərˈɑːtɪd ˈsaɪnəs
颈动脉管	n. carotid canal|kərˈɑːtɪd kəˈnæl
颈动脉鞘	n. carotid sheath|kərˈɑːtɪd ʃiːθ
颈围鸽	n. neck ring pigeon|nek rɪŋ ˈpɪdʒən
颈圈	n. neck ring|nek rɪŋ
颈复康颗粒	n. Jingfukang Granules
颈外动脉	n. external carotid artery|ɪkˈstɜːrnəl kərˈɑːtɪd ˈɑːrtəri
颈外静脉	n. external jugular vein|ɪkˈstɜːrnəl ˈdʒuːɡjələr veɪn
颈总动脉	n. common carotid artery|ˈkɑːmən kərˈɑːtɪd ˈɑːrtəri
颈曲	n. cervical curvature|ˈsɜːrvəkəl ˈkɜːrvətʃər
颈椎	n. cervical vertebra|ˈsɜːrvəkəl ˈvɜːrtəbrə
颈椎半脱位	n. cervical subluxation|ˈsɜːrvəkəl səbləkˈseɪʃən
颈椎病	n. cervical spondylosis
颈椎病贴	n. cervical spondylosis patch
颈椎结核	n. cervical tuberculosis|ˈsɜːrvəkəl təˌbərkjəˈloʊsɪs
颈椎脱位	n. cervical dislocation|ˈsɜːrvəkəl dɪˈsloʊˈkeɪʃən
颈椎间盘	n. cervical intervertebral disc
颈椎骨折	n. cervical fracture|ˈsɜːrvəkəl ˈfrækʃər
颈沟基合溞	n. water flea|ˈwɔːtər fliː
颈淋巴结炎	n. cervical lymphadenitis
颈线	n. neckline
颈缺	n. neck defect|nek ˈdiːfekt
颈肋	n. cervical rib|ˈsɜːrvəkəl rɪb
颈肌	n. neck muscle|nek ˈmʌsəl
颈腰康胶囊	n. Jingyaokang capsule
颈舒颗粒	n. Jingshu granules
颈蹼	n. webbed neck|webd nek
颈部	n. neck|nek
颈部损伤	n. neck injury|nek ˈɪndʒəri
颈部淋巴结结核	n. cervical tuberculous lymphadenitis
颈部烧伤	n. neck burn|nek bɜːrn
颈部血管瘤	n. neck hemangioma
颈静脉	n. jugular vein|ˈdʒuːɡjələr veɪn
颈静脉孔	n. jugular foramen|ˈdʒuːɡjələr fərˈeɪmən
颈静脉怒张	n. jugular venous distention
颈项	n. neck|nek
颈龟	n. neck turtle|nek ˈtɜːrtəl
颊	n. cheek|tʃiːk
颊刺锉甲鲶	n. Aspidoras fuscoguttatus
颊刺鱼	n. cheek-spine fish|tʃiːk spaɪn fɪʃ
颊带大咽齿鱼	n. Macropharyngodon meleagris
颊斑点鳍鱼	n. spotfin jawfish
颊斑裸棘杜父鱼	n. Gymnocanthus herzensteini
颊纹双板盾尾鱼	n. Naso lituratus
颊肌	n. buccinator muscle
颊脂垫	n. buccal fat pad|ˈbjuːkəl fæt pæd
颊车	n. cheek|tʃiːk
颊部	n. cheek|tʃiːk
颊间隙	n. buccal space|ˈbjuːkəl speɪs
颊齿龙	n. Maxakalisaurus
颌	n. jaw|dʒɔː
颌下淋巴结	n. submandibular lymph node
颌下腺	n. submandibular gland
颌下腺炎	n. submandibular sialadenitis
颌面部间隙感染	n. maxillofacial space infection
颌须鮈	n. gnathopogon
颌骨	n. jawbone|ˈdʒɔːˌboʊn
颌骨发育不全	n. jaw hypoplasia
颌骨囊肿	n. jaw cyst|dʒɔː sɪst
颌骨骨髓炎	n. osteomyelitis of jaw
颍	n. river|ˈrɪvər
颍东	n. Yingdong
颍南街道	n. Yingnan Subdistrict
颍川	n. Yingchuan
颍州区	n. Yingzhou District
颍桥回族镇	n. Yingqiao Hui Town
颍西街道	n. Yingxi Subdistrict
颍阳	n. Yingyang
颎	n. glabella
颏	n. chin|tʃɪn
颏成形术	n. genioplasty
颏舌肌	n. genioglossus muscle
颐	n. cheek|tʃiːk
颐之时	phr. at the right time|æt ðʌ raɪt taɪm
颐养天年	phr. live out one's life|laɪv aʊt wʌnz laɪf
颐和园	n. Summer Palace|ˈsʌmər ˈpæləs
颐和园北宫门	n. Summer Palace North Gate|ˈsʌmər ˈpæləs nɔːrθ ɡeɪt
颐和园南门	n. Summer Palace South Gate|ˈsʌmər ˈpæləs saʊθ ɡeɪt
颐和园西门	n. Summer Palace West Gate|ˈsʌmər ˈpæləs west ɡeɪt
颐和宾馆	n. Yihe Hotel
颐和山庄	n. Yihe Villa
颐和山庄南口	n. Yihe Shanzhuang South Entrance
颐和花园	n. Yihe Garden
颐和路	n. Yihe Road
颐家春天	n. Yijia Spring
颐达	n. Tida
频	n. frequency|ˈfriːkwənsi
频仍	adj. frequent|ˈfriːˌkwent
频传	v. keep coming|kiːp ˈkʌmɪŋ
频伽鸟	n. Kalaviuka bird
频发	v. occur frequently|əˈkɜːr ˈfriːkwəntli
频域	n. frequency domain|ˈfriːkwənsi doʊˈmeɪn
频域响应	n. frequency response|ˈfriːkwənsi riːˈspɑːns
频域滤波	n. frequency domain filtering|ˈfriːkwənsi doʊˈmeɪn ˈfɪltərɪŋ
频带	n. frequency band|ˈfriːkwənsi bænd
频度	n. frequency|ˈfriːkwənsi
频段	n. frequency band|ˈfriːkwənsi bænd
频率	n. frequency|ˈfriːkwənsi
频繁	adj. frequent|ˈfriːˌkwent
频繁模式	n. frequent pattern|ˈfriːˌkwent ˈpætərn
频繁项集	n. frequent itemset
频谱	n. spectrum|ˈspektrəm
频谱分析	n. spectrum analysis|ˈspektrəm əˈnæləsəs
频道	n. channel|ˈtʃænəl
频频	adv. frequently|ˈfriːkwəntli
颓	adj. decadent|ˈdekədənt
颓丧	adj. dejected|dɪˈdʒektɪd
颓势	n. declining trend|dɪˈklaɪnɪŋ trend
颓唐	adj. dejected|dɪˈdʒektɪd
颓废	adj. decadent|ˈdekədənt
颓然	adj. dejected|dɪˈdʒektɪd
颓败	adj. decadent|ˈdekədənt	adj. declining|dɪˈklaɪnɪŋ
颓靡	adj. dejected|dɪˈdʒektɪd	adj. dispirited|dɪˈspɪrətɪd
颔	n. chin|tʃɪn
颔首	v. nod|nɑːd
颖	n. awn	n. tip|tɪp
颖上县	n. Yingshang County
颖东区	n. Yingdong District
颖儿	n. Ying'er
颖宝	n. Yingbao
颖川河	n. Yingchuan River
颖州区	n. Yingzhou District
颖悟	adj. clever|ˈklevər
颖泉区	n. Yingquan District
颖阳镇	n. Yingyang Town
颖鹿尺蛾	n. Ectropis excellens
颗心	n. heart|hɑːrt
颗星	n. star|stɑːr
颗牙	n. tooth|tuːθ
颗痘	n. pimple|ˈpɪmpəl
颗痣	n. mole|moʊl
颗粒	n. granule|ˈɡrænjəl
颗粒仿权位蟹	n. Medaeus granulosus
颗粒剂	n. granule|ˈɡrænjəl
颗粒层	n. granular layer|ˈɡrænjələr ˈleɪər
颗粒拟关公蟹	n. Dorippe granulata
颗粒无收	phr. total crop failure|ˈtoʊtəl krɑːp ˈfeɪljər
颗粒细胞瘤	n. granulosa cell tumor
颗糖	n. candy|ˈkændi
颗绕	phr. circle around|ˈsɜːrkəl ərˈaʊn
颗颗真珠雨	phr. pearl-like raindrops|pɜːrl laɪk ˈreɪnˌdrɑːps
题	n. question|ˈkwestʃən	n. topic|ˈtɑːpɪk
题了	v. inscribed|ˌɪnsˈkraɪbd
题写	v. inscribe|ˌɪnsˈkraɪb
题名	v. title|ˈtaɪtəl
题型	n. question type|ˈkwestʃən taɪp
题字	v. inscribe|ˌɪnsˈkraɪb
题库	n. question bank|ˈkwestʃən bæŋk
题意	n. meaning of the question|ˈmiːnɪŋ ʌv ðʌ ˈkwestʃən
题旨	n. theme|θiːm	n. purport|ˈpɜːrˌpɔːrt
题材	n. theme|θiːm	n. subject|ˈsʌbdʒɪkt
题目	n. topic|ˈtɑːpɪk	n. question|ˈkwestʃən
题目分类	n. question classification|ˈkwestʃən ˌklæsəfəˈkeɪʃən
题目解析	n. problem analysis|ˈprɑːbləm əˈnæləsəs
题目详解	n. detailed explanation|dɪˈteɪld ˌekspləˈneɪʃən
题签	n. label|ˈleɪbəl	n. bookmark|ˈbʊkmɑːrk
题解	n. solution to a problem|səˈluːʃən tuː eɪ ˈprɑːbləm
题记	n. inscription|ˌɪnsˈkrɪpʃən
题词	v. inscribe|ˌɪnsˈkraɪb
题诗	v. inscribe a poem|ˌɪnsˈkraɪb eɪ ˈpoʊəm
题跋	n. colophon
颙	adj. large|lɑːrdʒ
颙琰	n. Yongyan
颚	n. jaw|dʒɔː
颚口线虫病	n. gnathostomiasis
颚胃动物门	n. Gnathostomulida
颛	n. Zhuan
颛顼	n. Zhuanxu
颜	n. face|feɪs	n. looks|lʊks
颜丹晨	n. Yan Danchen
颜之推	n. Yan Zhitui
颜值	n. looks|lʊks	n. appearance|əˈpɪrəns
颜值爆	phr. extremely handsome|ekˈstriːmli ˈhænsəm
颜值爆表	phr. drop-dead gorgeous|drɑːp ded ˈɡɔːrdʒəs
颜值高	adj. good-looking|ˈɡʊdˌlʊkɪŋ
颜元	n. Yan Yuan|jæn juːˈɑːn
颜光敏	n. Yan Guangmin
颜光明	n. Yan Guangming
颜嘉璐	n. Yan Jialu
颜家村	n. Yanjia Village
颜容	n. countenance|ˈkaʊntənəns
颜屋	n. Yanwu
颜庄村	n. Yanzhuang Village
颜延之	n. Yan Yanzhi
颜廷	n. Yan Ting|jæn tɪŋ
颜思齐	n. Yan Siqi
颜惠庆	n. Yan Huiqing
颜控	n. face person|feɪs ˈpɜːrsən
颜料	n. pigment|ˈpɪɡmənt	n. paint|peɪnt
颜料坊	n. pigment workshop|ˈpɪɡmənt ˈwɜːrkˌʃɑːp
颜晓华	n. Yan Xiaohua
颜杲卿	n. Yan Gaoqing
颜桥	n. Yanqiao
颜江	n. Yan Jiang|jæn dʒɑːŋ
颜港	n. Yangang
颜琛	n. Yan Chen|jæn tʃen
颜真卿	n. Yan Zhenqing
颜良	n. Yan Liang|jæn ljæŋ
颜色	n. color|ˈkʌlər
颜色代码	n. color code|ˈkʌlər koʊd
颜色值	n. color value|ˈkʌlər ˈvæljuː
颜色减淡	n. color dodge|ˈkʌlər dɑːdʒ
颜色取样器	n. color sampler|ˈkʌlər ˈsæmplər
颜色渐变	n. color gradient|ˈkʌlər ˈɡreɪdiːənt
颜色直方图	n. color histogram|ˈkʌlər ˈhɪstəˌɡræm
颜色空间	n. color space|ˈkʌlər speɪs
颜色系统	n. color system|ˈkʌlər ˈsɪstəm
颜色表	n. color table|ˈkʌlər ˈteɪbəl
颜色识别	n. color recognition|ˈkʌlər ˌrekəɡˈnɪʃən
颜色选择器	n. color picker|ˈkʌlər ˈpɪkər
颜面	n. face|feɪs
颜面再发性皮炎	n. facial recurrent dermatitis|ˈfeɪʃəl riːˈkɜːrənt ˌdərməˈtaɪtɪs
颜面扫地	phr. lose face|luːz feɪs
额	int. uh|ʌ
额勒再特乌鲁乡	n. Elezait Wulu Township
额勒顺镇	n. Eleshun Town
额叶	n. frontal lobe|ˈfrʌntəl loʊb
额外	adj. extra|ˈekstrə
额外内容	n. extra content|ˈekstrə ˈkɑːntent
额外牙	n. supernumerary tooth
额外肩胛骨	n. accessory scapula|ækˈsesəri ˈskæpjələ
额外肾	n. supernumerary kidney
额头	n. forehead|ˈfɔːrhed
额头上	n. forehead|ˈfɔːrhed
额定	adj. rated|ˈreɪtɪd
额定功率	n. rated power|ˈreɪtɪd ˈpaʊər
额定电压	n. rated voltage|ˈreɪtɪd ˈvoʊltədʒ
额宝	n. Ebao
额尔	n. Er|ər
额尔克哈什哈苏木	n. E'erkehashiha Sumu
额尔古纳右旗	n. Ergun Right Banner
额尔古纳左旗	n. Ergun Left Banner
额尔古纳市	n. Ergun City
额尔德	n. Eerde
额尔登布拉格苏木	n. Erdenbulag Sum
额尔登敖包嘎查	n. Erden Obo Gacha
额度	n. quota|ˈkwoʊtə	n. limit|ˈlɪmət
额敏和卓	n. Emin Khoja
额数	n. amount|əˈmaʊnt
额窦	n. frontal sinus|ˈfrʌntəl ˈsaɪnəs
额窦炎	n. frontal sinusitis
额窦骨折	n. frontal sinus fracture|ˈfrʌntəl ˈsaɪnəs ˈfrækʃər
额角	n. forehead corner|ˈfɔːrhed ˈkɔːrnər
额颊沟	n. frontomalar sulcus
额骨	n. frontal bone|ˈfrʌntəl boʊn
颞	n. temple|ˈtempəl
颞下窝	n. infratemporal fossa
颞下颌关节	n. temporomandibular joint
颞下颌关节强直	n. TMJ ankylosis
颞下颌关节炎	n. TMJ arthritis
颞下颌关节脱位	n. TMJ dislocation
颞叶	n. temporal lobe|ˈtempərəl loʊb
颞窝	n. temporal fossa
颞肌	n. temporal muscle|ˈtempərəl ˈmʌsəl
颞部	n. temple|ˈtempəl
颞部除皱术	n. temporal rhytidectomy
颞骨	n. temporal bone|ˈtempərəl boʊn
颞骨骨折	n. temporal bone fracture|ˈtempərəl boʊn ˈfrækʃər
颟	adj. dim-witted|dɪm ˈwɪtɪd
颟顸	adj. muddleheaded|ˈmʌdəlˌhedəd
颠	adj. crazy|ˈkreɪzi
颠三倒四	phr. disorderly|dɪˈsɔːrdərli
颠倒	v. reverse|riːˈvɜːrs
颠倒不自知	phr. confused without self-awareness|kənˈfjuːzd wɪˈðaʊt self əˈwernəs
颠倒是非	phr. confuse right and wrong|kənˈfjuːz raɪt ænd rɔːŋ
颠倒黑白	phr. confuse right and wrong|kənˈfjuːz raɪt ænd rɔːŋ
颠哥	n. British Columbia|ˈbrɪtɪʃ kəˈlʌmbiːə
颠哥伦	n. British Columbia|ˈbrɪtɪʃ kəˈlʌmbiːə
颠哥伦比	n. British Columbia|ˈbrɪtɪʃ kəˈlʌmbiːə
颠复	v. overturn|ˈoʊvərˌtərn	v. subvert|səbˈvɜːrt
颠屁	phr. bounce|baʊns
颠屁颠	phr. bouncing|ˈbaʊnsɪŋ
颠扑不破	phr. indestructible|ˌɪndəˈstrʌktɪbəl	phr. irrefutable|ˌɪrəfˈjuːtəbəl
颠来倒去	phr. back and forth|bæk ænd fɔːrθ
颠沛必于是	phr. in adversity still adhere|ɪn ædˈvɜːrsɪˌti stɪl ədˈhɪr
颠沛流离	phr. wander about|ˈwɑːndər əˈbaʊt
颠簸	v. bump|bʌmp
颠簸不破	phr. unassailable|ˌənəˈseɪləbəl
颠茄	n. belladonna
颠茄合剂	n. belladonna mixture
颠茄流浸膏	n. belladonna liquid extract
颠茄浸膏	n. belladonna extract
颠茄片	n. belladonna tablet
颠茄草	n. belladonna herb
颠覆	v. overturn|ˈoʊvərˌtərn	v. subvert|səbˈvɜːrt
颡	n. forehead|ˈfɔːrhed
颢	n. vast|væst
颢然	adj. vast|væst
颤	v. tremble|ˈtrembəl
颤动	v. vibrate|ˈvaɪbreɪt	v. quiver|ˈkwɪvər
颤巍巍	adj. trembling|ˈtrembəlɪŋ
颤悠	v. shake|ʃeɪk	v. quiver|ˈkwɪvər
颤抖	v. tremble|ˈtrembəl
颤病	n. tremor disease|ˈtremər dɪˈziːz
颥	n. temple|ˈtempəl
颦	v. frown|fraʊn
颧	n. cheekbone|ˈtʃiːkˌboʊn
颧突抹香鲸	n. zygomatic sperm whale
颧骨	n. cheekbone|ˈtʃiːkˌboʊn
颧骨骨折	n. zygomatic fracture
颧髎	n. cheekbone|ˈtʃiːkˌboʊn
风	n. wind|waɪnd
风中	n. in the wind|ɪn ðʌ waɪnd
风中之烛	phr. flickering candle|ˈflɪkərɪŋ ˈkændəl
风习	n. custom|ˈkʌstəm	n. practice|ˈpræktəs
风云	n. wind and cloud|waɪnd ænd klaʊd	n. situation|ˌsɪtʃuːˈeɪʃən
风云人物	n. man of the hour|mæn ʌv ðʌ ˈaʊər
风云变幻	phr. changeable situation|ˈtʃeɪndʒəbəl ˌsɪtʃuːˈeɪʃən
风云变色	phr. world-shaking|wɜːrld ˈʃeɪkɪŋ
风云岭	n. Fengyun Ridge
风云突变	phr. sudden change|ˈsʌdən tʃeɪndʒ
风云论道	phr. discuss world affairs|dɪˈskʌs wɜːrld əˈferz
风云际会	phr. convergence of forces|kənˈvɜːrdʒəns ʌv ˈfɔːrsɪz
风仪乡	n. Fengyi Township
风传	v. rumor|ˈruːmər	v. hearsay|ˈhiːrˌseɪ
风俗	n. custom|ˈkʌstəm	n. manners|ˈmænərz
风俗人情	n. customs and manners|ˈkʌstəmz ænd ˈmænərz
风俗画	n. genre painting|ˈʒɑːnrə ˈpeɪntɪŋ
风信	n. wind message|waɪnd ˈmesədʒ
风信子	n. hyacinth|ˈhaɪəˌsɪnθ
风儿	n. wind|waɪnd
风光	n. scenery|ˈsiːnəri
风光大酒店	n. Fengguang Hotel
风光旖旎	phr. charming scenery|ˈtʃɑːrmɪŋ ˈsiːnəri
风光片	n. scenery film|ˈsiːnəri fɪlm
风光里	n. Fengguangli
风入四蹄轻	phr. wind under swift hooves|waɪnd ˈʌndər swɪft huːvz
风凉	adj. cool|kuːl
风凉话	n. sarcastic remark|sɑːrˈkæstɪk riːˈmɑːrk
风切	n. wind shear|waɪnd ʃɪr
风切变	n. wind shear|waɪnd ʃɪr
风刮	v. blow|bloʊ
风力	n. wind power|waɪnd ˈpaʊər
风力发电	n. wind power|waɪnd ˈpaʊər
风动护花铃	phr. Wind moves flower-protecting bells|waɪnd muːvz ˈflaʊər prəˈtektɪŋ belz
风势	n. wind force|waɪnd fɔːrs
风化	n. weathering|ˈweðərɪŋ
风华	n. elegance|ˈeləɡəns	n. talent|ˈtælənt
风华一号	n. Fenghua No.1
风华园	n. Fenghua Garden
风华大酒店	n. Fenghua Grand Hotel
风华绝代	adj. peerless elegance|ˈpɪrlɪs ˈeləɡəns
风华苑	n. Fenghua Garden
风卷残云	phr. sweep everything away|swiːp ˈevriːˌθɪŋ əˈweɪ
风压	n. wind pressure|waɪnd ˈpreʃər
风发	adj. energetic|ˌenərˈdʒetɪk
风口	n. wind gap|waɪnd ɡæp
风口浪尖	phr. at the forefront|æt ðʌ ˈfɔːrˌfrənt
风向	n. wind direction|waɪnd daɪˈrekʃɪn
风向标	n. weather vane|ˈweðər veɪn
风吟	n. wind chant|waɪnd tʃænt
风吹	phr. wind blows|waɪnd bloʊz
风吹云散	phr. wind blows clouds away|waɪnd bloʊz klaʊdz əˈweɪ
风吹仙袂飘飘举	phr. wind lifts immortal sleeves|waɪnd lɪfts ˌɪˈmɔːrtəl sliːvz
风吹日晒	phr. exposed to weather|ɪkspoʊzd tuː ˈweðər
风吹细细香	phr. wind carries faint fragrance|waɪnd ˈkæriːz feɪnt ˈfreɪɡrəns
风吹草动	phr. sign of disturbance|saɪn ʌv dɪˈstɜːrbəns
风吹雨打	phr. weather-beaten|ˈweðər ˈbiːtən
风吹雨淋	phr. weather-beaten|ˈweðər ˈbiːtən
风味	n. flavor|ˈfleɪvər
风味南美螺	n. Flavored South American snail|ˈfleɪvərd saʊθ əˈmerəkən sneɪl
风味小炒	n. home-style stir-fry|hoʊm staɪl stɜːr fraɪ
风味绝佳	phr. excellent flavor|ˈeksələnt ˈfleɪvər
风味羊腿	n. flavored lamb leg|ˈfleɪvərd læm leɡ
风味腊肠卷	n. Flavored sausage roll|ˈfleɪvərd ˈsɔːsədʒ roʊl
风味餐厅	n. specialty restaurant|ˈspeɪʃəlti ˈresˌtrɑːnt
风味龙虱	n. flavored diving beetle|ˈfleɪvərd ˈdaɪvɪŋ ˈbiːtəl
风和日丽	phr. fine and warm|faɪn ænd wɔːrm
风和闻马嘶	phr. wind and horses neighing
风圈	n. wind circle|waɪnd ˈsɜːrkəl
风土	n. climate|ˈklaɪmət	n. customs|ˈkʌstəmz
风土人情	phr. local customs|ˈloʊkəl ˈkʌstəmz
风垭乡	n. Fengya Township
风墙	n. wind wall|waɪnd wɔːl
风声	n. wind sound|waɪnd saʊnd	n. news|njuːz
风声一何盛	phr. wind sound so strong|waɪnd saʊnd soʊ strɔːŋ
风声鹤唳	phr. panic-stricken|ˈpænɪk ˈstrɪkən
风声鹤唳草木皆兵	phr. panic-stricken|ˈpænɪk ˈstrɪkən
风大	adj. windy|ˈwaɪndi
风太大	phr. wind too strong|waɪnd tuː strɔːŋ
风头	n. trend|trend	n. limelight|ˈlaɪmˌlaɪt
风姿	n. grace|ɡreɪs
风姿绰约	phr. graceful and charming|ˈɡreɪsfəl ænd ˈtʃɑːrmɪŋ
风媒	n. wind pollination|waɪnd ˌpɑːləˈneɪʃən
风害	n. wind damage|waɪnd ˈdæmədʒ
风寒	n. cold|koʊld	n. wind-cold|waɪnd koʊld
风寒双离拐片	n. Fenghan Shuangli Guai tablets
风寒双离拐胶囊	n. Fenghan Shuangli Guai capsule
风寒咳嗽	n. wind-cold cough|waɪnd koʊld kɑːf
风寒感冒	n. wind-cold cold|waɪnd koʊld koʊld
风寒感冒冲剂	n. cold granules|koʊld ˈɡrænjəlz
风寒感冒颗粒	n. cold granules|koʊld ˈɡrænjəlz
风封	n. wind seal|waɪnd siːl
风尘	n. wind and dust|waɪnd ænd dʌst	n. hardship|ˈhɑːrdʃɪp
风尘仆仆	phr. travel-worn|ˈtrævəl wɔːrn
风尘女子	n. prostitute|ˈprɑːstəˌtuːt
风尚	n. fashion|ˈfæʃən	n. trend|trend
风山	n. Fengshan
风山县	n. Fengshan County
风岗镇	n. Fenggang Town
风帆	n. sail|seɪl
风帽	n. hood|hʊd
风干	v. air-dry|er draɪ
风干牛肉	n. air-dried beef|er draɪd biːf
风干肉	n. air-dried meat|er draɪd miːt
风干肉抓饭	n. air-dried meat pilaf|er draɪd miːt ˌpiːˈlɑːf
风平浪静	phr. calm|kɑːlm
风府穴	n. Fengfu acupoint
风度	n. grace|ɡreɪs	n. demeanor|dɪˈmiːnər
风度翩翩	phr. elegant|ˈeləɡənt
风急浪高	phr. rough sea|rʌf siː
风情	n. charm|tʃɑːrm
风情羊柳	n. Romantic lamb fillet|roʊˈmæntɪk læm fəˈleɪ
风情苑	n. Fengqing Garden
风扇	n. fan|fæn
风扇偶合器	n. fan clutch|fæn klʌtʃ
风挡	n. windshield|ˈwɪndˌʃiːld
风挡玻璃	n. windshield|ˈwɪndˌʃiːld
风控	n. risk control|rɪsk kənˈtroʊl
风斗	n. wind scoop|waɪnd skuːp
风日似长沙	phr. weather like Changsha
风景	n. scenery|ˈsiːnəri	n. landscape|ˈlænˌskeɪp
风景冲浪	n. scenic surfing|ˈsiːnɪk ˈsɜːrfɪŋ
风景区	n. scenic area|ˈsiːnɪk ˈeriːə
风景名胜区条例	n. scenic area regulation|ˈsiːnɪk ˈeriːə ˌreɡjəˈleɪʃən
风景好	phr. scenic|ˈsiːnɪk
风景如画	phr. picturesque|ˈpɪktʃərəsk
风景旧曾谙	phr. scenery once familiar|ˈsiːnəri wʌns fəˈmɪljər
风景榧螺	n. scenic olive snail|ˈsiːnɪk ˈɑːləv sneɪl
风景点	n. scenic spot|ˈsiːnɪk spɑːt
风景爱尔法	n. Scenic Alpha|ˈsiːnɪk ˈælfə
风景画	n. landscape painting|ˈlænˌskeɪp ˈpeɪntɪŋ
风景触乡愁	phr. Scenery touches homesickness|ˈsiːnəri ˈtʌtʃəz ˈhoʊmˌsɪknəs
